"('31 > 0.60', 0.03706829659117199)","('23 > 0.37', 0.035470050562187605)","('1309 > 1.02', 0.032984319204433656)","('2863 > 1.25', 0.032889444741956)","('3591 <= 0.97', 0.03195938871157798)","('3622 > 1.08', 0.03177700413580589)","('62 > 0.41', 0.03166326332871103)","('3738 <= 1.05', 0.0298827556845107)","('3647 <= 1.03', 0.029423653334634123)","('3410 <= 0.96', 0.029421239633030036)","('3265 <= 1.04', 0.029352781183766927)","('2698 <= 1.03', 0.028935742490065825)","('1720 <= 1.03', 0.028770198712134647)","('33 > 0.41', 0.028767773102702093)","('406 > 0.62', 0.028587315017391396)","('1.01 < 1690 <= 1.03', 0.028574541161784563)","('160 > 0.38', 0.02845445501201722)","('823 > 0.95', 0.028239081482381235)","('2095 <= 1.06', 0.028052715472877167)","('3502 <= 0.95', 0.02798784336271675)","('2394 <= 1.06', 0.027850447123389025)","('578 > 0.71', 0.02768915288065152)","('2611 > 1.06', 0.027633770149152324)","('2846 > 1.14', 0.027456578902818)","('706 > 0.73', 0.02742958788450916)","('1842 <= 1.03', 0.027344853228512114)","('568 > 0.76', 0.027215767371286812)","('1146 > 0.97', 0.02716301772815954)","('831 > 0.82', 0.027092173542464185)","('2098 <= 1.07', 0.0270478827973502)","('1097 > 1.03', 0.02698856042894377)","('1.01 < 1647 <= 1.04', 0.02697338130511484)","('680 > 0.79', 0.02680116767284733)","('1511 > 0.88', 0.02664178200995806)","('551 > 0.69', 0.026621148391781965)","('1566 > 0.89', 0.02658895908847198)","('2716 <= 1.03', 0.026505461219909904)","('1444 > 0.91', 0.026378739900804093)","('1791 <= 1.00', 0.026140091452213667)","('1.00 < 1694 <= 1.02', 0.026131472567231345)","('2650 <= 1.03', 0.026081827074342156)","('1111 > 0.99', 0.026043307667977345)","('1.05 < 1841 <= 1.07', 0.02590614705090389)","('3475 <= 0.96', 0.02542432648850539)","('3431 <= 0.92', 0.025351005700708792)","('3245 <= 1.03', 0.02529550541700148)","('1335 > 0.98', 0.02526137167592246)","('130 > 0.32', 0.025217528533312588)","('1774 <= 0.98', 0.02517133899807331)","('3234 <= 1.03', 0.025095505344312482)","('3524 <= 0.96', 0.025017029283329925)","('3606 <= 1.01', 0.02429601769092554)","('541 > 0.72', 0.024177849220573394)","('3308 <= 1.03', 0.023919847223821095)","('1164 > 0.87', 0.023867124516496113)","('1012 > 0.93', 0.023840495687047717)","('3202 <= 1.04', 0.023831857992164876)","('3523 <= 0.96', 0.023771259491317497)","('3087 <= 1.00', 0.023645153091604122)","('1832 <= 0.99', 0.023466648241084093)","('3598 <= 0.99', 0.023452499778449473)","('3574 <= 1.00', 0.0234497648087343)","('11 <= 0.31', 0.02339309876292738)","('80 > 0.52', 0.0233124654919852)","('1808 <= 0.98', 0.02318961981027764)","('2308 <= 1.03', 0.02311434935237897)","('1943 <= 1.01', 0.022966156649514922)","('1977 <= 1.05', 0.02278714755907642)","('1150 > 0.97', 0.022762419832991158)","('3651 <= 1.03', 0.022638827800395694)","('244 > 0.42', 0.02256742986360395)","('3264 <= 1.04', 0.02250260732296738)","('2127 <= 1.09', 0.02232711659118432)","('316 > 0.72', 0.02231749082837529)","('443 > 0.67', 0.02227646344753879)","('1434 > 0.94', 0.022132283598419837)","('1253 > 1.05', 0.022028885539703252)","('426 > 0.71', 0.02189137236144171)","('1059 > 0.98', 0.021790254825597842)","('2725 <= 1.04', 0.02174870750694659)","('3166 <= 1.01', 0.021746694725625244)","('48 > 0.32', 0.021507870348867596)","('2151 <= 1.06', 0.02148864756008986)","('1268 > 0.98', 0.02146574614434599)","('538 > 0.69', 0.02122802812096835)","('849 > 0.90', 0.0209879962834446)","('3533 <= 0.98', 0.02092606176258041)","('3550 <= 0.99', 0.020849401765055838)","('3111 <= 1.01', 0.020464690284819637)","('3361 <= 0.99', 0.020314483509478818)","('2608 <= 1.02', 0.020147184065382677)","('289 > 0.63', 0.02004897961731277)","('169 > 0.47', 0.020018438712460025)","('3379 <= 1.01', 0.019660320091197798)","('3023 > 1.08', 0.019330988722406503)","('1061 > 0.97', 0.019084774461712986)","('1149 > 0.98', 0.01848684769872536)","('2244 <= 1.05', 0.017470579617083565)","('325 > 0.71', 0.016415559511430543)","('230 > 0.31', 0.013539377248344022)"
"('27 > 0.66', 0.027505151149838605)","('30 > 0.68', 0.0251713257604611)","('2584 <= 1.01', 0.017454938750782616)","('2995 <= 1.02', 0.017413569091853633)","('2757 <= 1.04', 0.017331715517470002)","('1428 > 0.89', 0.01729693783005581)","('2054 <= 1.05', 0.017188145565222444)","('2270 <= 1.07', 0.01715396810974356)","('2244 <= 1.05', 0.01711628703543969)","('530 > 0.64', 0.017065265798221766)","('2913 <= 1.04', 0.017016031259974737)","('272 > 0.27', 0.016716905380158176)","('32 > 0.50', 0.016714872187185793)","('1.00 < 1736 <= 1.02', 0.016653775604126748)","('1175 > 0.90', 0.0165797046262669)","('1187 > 0.93', 0.0164575207734186)","('2712 <= 1.04', 0.016415136534455983)","('3698 <= 1.04', 0.016314189467269553)","('1327 > 0.93', 0.016132728301245732)","('2424 <= 1.03', 0.016076466513610572)","('1411 > 0.92', 0.01604364235045931)","('111 > 0.50', 0.016031256430965413)","('646 > 0.75', 0.015963359153424117)","('1467 > 0.80', 0.015941335320059067)","('1.07 < 1743 <= 1.09', 0.015860895096081004)","('3302 <= 1.03', 0.015610121312777636)","('3276 <= 1.03', 0.015578520115564097)","('1981 <= 1.04', 0.015522900570503703)","('761 > 0.78', 0.01549054419573477)","('2466 <= 0.96', 0.015458431406831497)","('2788 <= 1.05', 0.015425413953752338)","('2537 <= 0.98', 0.015388685767585942)","('3600 <= 1.00', 0.0153709761363605)","('304 > 0.69', 0.015364387844825581)","('2628 <= 1.03', 0.015358501460160967)","('780 > 0.92', 0.015331599653275168)","('1042 > 0.99', 0.015311368100692977)","('1266 > 0.99', 0.01523934863795665)","('2049 <= 1.06', 0.015116661857180703)","('3343 <= 1.06', 0.015116378798162999)","('1688 > 1.07', 0.01499926018096328)","('311 > 0.70', 0.01495781874146284)","('3650 <= 1.03', 0.014951445100597236)","('2067 <= 1.07', 0.014882997845882623)","('2598 <= 1.02', 0.014799766163858006)","('998 > 0.94', 0.014730182357378909)","('2307 <= 1.04', 0.014648410018128713)","('1852 <= 1.05', 0.014647751270751286)","('2555 <= 0.96', 0.014568704430758963)","('3154 <= 1.01', 0.01448827695394341)","('2545 <= 0.96', 0.014389755501722301)","('3781 <= 1.06', 0.014372951907661123)","('80 > 0.52', 0.014159634666616312)","('2741 <= 1.05', 0.0140679417983463)","('3253 <= 1.03', 0.013988221561273308)","('3636 <= 1.03', 0.013849480886439598)","('2162 <= 1.03', 0.013711684233065154)","('2873 <= 1.01', 0.013696019296829866)","('3352 <= 1.05', 0.01366704624050013)","('427 > 0.70', 0.013644531031755077)","('2588 <= 1.02', 0.01364334027847058)","('3510 <= 0.94', 0.013623640357065123)","('1679 > 1.08', 0.013399093992399217)","('2638 <= 1.02', 0.013385882700305645)","('1257 > 0.99', 0.01319396303863586)","('2169 <= 1.05', 0.013187826950452916)","('3034 > 1.16', 0.01311551723501378)","('750 > 0.90', 0.013106914617434339)","('2124 <= 1.09', 0.013058481260239448)","('1323 > 0.91', 0.013003110651831202)","('254 > 0.54', 0.0129992672911537)","('3457 <= 0.94', 0.01297738827005491)","('1521 > 1.00', 0.012935151592020714)","('488 > 0.68', 0.01286273810465935)","('125 > 0.36', 0.012812960221863923)","('2874 <= 1.01', 0.012764436957519741)","('1465 > 0.88', 0.012255227050453388)","('2486 <= 1.02', 0.012198361022532767)","('3453 <= 0.93', 0.012188769886925847)","('502 > 0.64', 0.012097176670831877)","('2738 <= 1.05', 0.011916073222023926)","('2858 <= 1.01', 0.011656642555053944)","('3416 <= 0.95', 0.011528359700110699)","('706 > 0.73', 0.011365279605004693)","('3095 <= 1.01', 0.01135862771126361)","('2722 <= 1.03', 0.01130449409310464)","('954 > 0.94', 0.011227335644553936)","('2279 <= 1.05', 0.011187632072935416)","('3094 <= 1.01', 0.011150751751247823)","('2518 <= 0.97', 0.011144238257603672)","('2576 <= 1.01', 0.011073898722260273)","('2298 <= 1.05', 0.010958373030263757)","('2222 <= 1.04', 0.010950318897277088)","('3447 <= 0.93', 0.010421075565699206)","('992 > 0.94', 0.009880859384789607)","('2462 <= 0.97', 0.009557087698293651)","('3130 <= 1.02', 0.008944018767097347)","('1.04 < 1724 <= 1.06', 0.008265598018864652)","('1601 > 1.01', 0.006818306658905522)","('3406 <= 0.96', 0.006490412101626836)"
"('0.91 < 1419 <= 0.95', 0.04468247099230694)","('3200 <= 1.04', 0.044534903078406025)","('896 > 0.92', 0.04407390667421339)","('2634 <= 1.04', 0.044009502169425035)","('915 > 1.00', 0.042537055685989686)","('1353 <= 0.88', 0.04238989869659499)","('1972 <= 1.03', 0.04218706338838504)","('10 > 0.39', 0.042163131053558615)","('534 > 0.72', 0.042029666594236015)","('3294 <= 1.05', 0.04187489950620249)","('115 > 0.43', 0.04077922126384245)","('922 > 1.01', 0.04074276037961182)","('933 > 0.99', 0.040535721173556756)","('558 > 0.71', 0.04047461422539335)","('560 > 0.70', 0.040153198662695386)","('3203 <= 1.04', 0.04005264874644948)","('116 > 0.41', 0.039957070638570534)","('3242 <= 1.04', 0.039508089174338526)","('2056 <= 1.05', 0.03942083163658192)","('3135 <= 1.02', 0.03922860118897398)","('679 > 0.79', 0.03908699719937534)","('3144 <= 1.00', 0.038961762198041414)","('2871 <= 1.00', 0.038840723851299386)","('2771 <= 1.06', 0.03874865500737366)","('3676 <= 1.05', 0.03871920589351015)","('2683 <= 1.05', 0.03868283784630329)","('3439 <= 0.94', 0.037918013363653046)","('745 > 0.86', 0.03786071568496877)","('2813 <= 1.06', 0.03783093558441536)","('3535 <= 0.99', 0.03776090537122195)","('0.86 < 1433 <= 0.89', 0.03744724637063539)","('238 > 0.28', 0.03738106821133318)","('3392 <= 0.95', 0.037377061732288816)","('2618 <= 1.00', 0.03731869240742868)","('395 > 0.70', 0.03728844743038534)","('3598 <= 0.99', 0.03706624954694355)","('1.07 < 2881 <= 1.11', 0.037003003218722415)","('698 > 0.81', 0.03699941746549875)","('1857 <= 1.03', 0.0369842323876817)","('1554 <= 0.93', 0.036870569915469525)","('1132 > 0.98', 0.03667629964195498)","('2891 <= 1.07', 0.036630847078832886)","('2328 <= 1.05', 0.0366296836516093)","('2029 <= 1.07', 0.036618496726861016)","('3762 <= 1.05', 0.03630804935491238)","('2963 <= 1.02', 0.036109808931456)","('292 > 0.65', 0.03601324019602078)","('2525 <= 0.98', 0.03598576977229297)","('3079 <= 1.02', 0.03566061370538096)","('905 > 0.94', 0.035606876599237655)","('1182 <= 0.89', 0.035596244830805354)","('3587 <= 0.97', 0.03546765885550379)","('0.90 < 1279 <= 0.94', 0.035188669551679104)","('1039 > 0.97', 0.034940933516011435)","('1678 <= 1.03', 0.03475013800698241)","('663 > 0.84', 0.03460108123979734)","('2926 <= 1.04', 0.0344950774630003)","('43 > 0.42', 0.03415664326997696)","('2390 <= 1.06', 0.034069783129620806)","('3186 <= 1.02', 0.034004384665214764)","('1185 <= 0.88', 0.0339974443224296)","('2398 <= 1.06', 0.033961540798380735)","('2735 <= 1.04', 0.03357852043000411)","('3545 <= 0.98', 0.03347755466514307)","('2276 <= 1.06', 0.03343182225555353)","('3373 <= 0.99', 0.03309924527054686)","('3426 <= 0.94', 0.03301073705340279)","('1744 <= 1.04', 0.03296354240359609)","('1356 <= 0.91', 0.03258558367029021)","('219 > 0.51', 0.03248761080292152)","('3428 <= 0.93', 0.03218785284261209)","('2599 <= 1.01', 0.03203672954178764)","('3755 <= 1.06', 0.03161884642443179)","('2617 <= 1.00', 0.03143034028684562)","('218 > 0.53', 0.031349707216679346)","('1616 <= 1.03', 0.03127126311990489)","('439 > 0.72', 0.03114792803724939)","('3038 <= 1.02', 0.030801056465275145)","('3253 <= 1.03', 0.030650910294301878)","('2812 <= 1.06', 0.030618070442413308)","('548 > 0.74', 0.03023036333520958)","('2180 <= 1.04', 0.030221975541705273)","('2188 <= 0.90', 0.029342079565390294)","('1855 <= 1.04', 0.02910881237670911)","('136 > 0.29', 0.02891980460009881)","('3206 <= 1.04', 0.028784840500518043)","('2008 <= 0.99', 0.02850806555891579)","('443 > 0.67', 0.028119591085722765)","('2942 <= 1.03', 0.0278848674040278)","('649 > 0.80', 0.027483555611769843)","('0.95 < 1197 <= 0.99', 0.026893679035737753)","('3006 <= 1.02', 0.026515853555575102)","('1824 <= 1.02', 0.026442230753770602)","('2193 <= 0.79', 0.025973240535793068)","('3335 <= 1.04', 0.025706065275276434)","('2985 <= 1.02', 0.025654026467206503)","('469 > 0.69', 0.025367652276033145)","('267 > 0.27', 0.024085317873714568)","('1884 <= 1.01', 0.023409775192776972)","('1119 > 1.03', 0.018856612022736485)"
"('29 > 0.71', 0.02462381787167423)","('27 > 0.66', 0.019500019510233647)","('28 > 0.70', 0.019370323527829168)","('30 > 0.68', 0.016053309681383448)","('26 > 0.58', 0.01577248599159051)","('25 > 0.50', 0.01249398783423121)","('31 > 0.60', 0.011540284152341138)","('1309 > 1.02', 0.01057151588056045)","('1308 > 1.02', 0.010255183846680185)","('23 > 0.37', 0.009783143892993333)","('24 > 0.42', 0.009293686956829732)","('3455 <= 0.94', 0.007117754947902955)","('33 > 0.41', 0.006852286378886511)","('22 > 0.35', 0.006781847638367857)","('69 > 0.41', 0.006435899759989662)","('1020 > 1.00', 0.006159620899011946)","('2785 <= 1.05', 0.0059807344419735104)","('2939 <= 1.03', 0.005594706072887092)","('2107 <= 1.08', 0.005493244804718615)","('1984 <= 1.02', 0.005428903286811334)","('1280 > 0.96', 0.00536130029551692)","('3674 <= 1.05', 0.005262304987251213)","('0.98 < 1699 <= 1.00', 0.005139989783454326)","('961 > 0.99', 0.005111886940948557)","('1310 > 1.01', 0.005030271097385184)","('40 > 0.39', 0.0048986285346201966)","('967 > 0.89', 0.004896888150449597)","('1445 > 0.91', 0.004886294354887009)","('437 > 0.69', 0.004766437435550562)","('420 > 0.69', 0.004765270051404479)","('422 > 0.69', 0.0046945917243368974)","('165 > 0.46', 0.004675828925556665)","('1048 > 1.01', 0.004612538889962625)","('2274 <= 1.07', 0.004609477378428696)","('2478 <= 1.01', 0.004593648782756016)","('605 > 0.54', 0.004582164812763771)","('2569 <= 1.00', 0.004578945024071118)","('916 > 1.00', 0.004547646763658489)","('1701 > 1.01', 0.004533842692440998)","('638 > 0.73', 0.004510898351712501)","('3392 <= 0.95', 0.004509611072192108)","('3741 <= 1.05', 0.004502042674499135)","('2727 <= 1.05', 0.004483923218162739)","('968 > 0.87', 0.004447933512500942)","('2496 <= 1.00', 0.004422109645035704)","('567 > 0.78', 0.004413336497403072)","('1902 <= 0.98', 0.0043962279900335854)","('1698 > 1.00', 0.0043946293978877095)","('3472 <= 0.95', 0.004178175098038947)","('1937 <= 1.01', 0.004159702462750685)","('2687 <= 1.05', 0.004139934526373604)","('1154 > 0.95', 0.00413117368671654)","('2060 <= 1.06', 0.004095141592196661)","('1321 > 0.90', 0.0040912089842627015)","('592 > 0.64', 0.004046521649489937)","('2072 <= 1.07', 0.00401628379703193)","('1.08 < 1656 <= 1.11', 0.0039979348142143364)","('2102 <= 1.08', 0.003976889957579633)","('1268 > 0.98', 0.003971196878399763)","('2416 <= 1.07', 0.0039625509599619385)","('2470 <= 0.97', 0.003931061113426505)","('2391 <= 1.05', 0.0038674878618654564)","('3728 <= 1.04', 0.0038577444546643224)","('2817 <= 1.06', 0.00379025454145779)","('1361 > 1.02', 0.0037477649824692286)","('2975 <= 1.03', 0.0037454165456923434)","('3092 <= 1.01', 0.0037093374500478246)","('1152 > 0.96', 0.003626001693540783)","('1827 <= 1.00', 0.0035972026538857406)","('1708 > 0.97', 0.003546470706715412)","('752 > 0.89', 0.0034902432155441455)","('3038 <= 1.02', 0.003313290273304195)","('3177 <= 1.02', 0.0032794140157430306)","('730 > 0.85', 0.0032510715683897033)","('674 > 0.77', 0.0032485491814257662)","('3055 <= 1.00', 0.0032203527263371147)","('1496 > 0.91', 0.0032138275807494956)","('1844 <= 1.03', 0.0031823946815886387)","('3347 <= 1.07', 0.003177231343185114)","('1297 > 0.98', 0.003175290971475485)","('2232 <= 1.04', 0.00312628853629262)","('669 > 0.82', 0.00309263190026955)","('1155 > 0.93', 0.0030509407440206687)","('2043 <= 1.07', 0.003022361093848017)","('2888 > 1.32', 0.0029625986576181603)","('2566 <= 0.99', 0.0029316001406391907)","('646 > 0.75', 0.0029176618277092373)","('626 > 0.67', 0.0028595087400185666)","('2806 <= 1.04', 0.0027678231703232234)","('1689 > 1.06', 0.0025575889353559146)","('3744 <= 1.04', 0.0024808029678456372)","('1605 > 1.06', 0.002378214247385682)","('2711 <= 1.04', 0.0022806283988757105)","('0.83 < 2196 <= 0.86', 0.0022314825680226197)","('2963 <= 1.02', 0.0021083211707638456)","('44 > 0.40', 0.0019836343399831087)","('1525 > 0.96', 0.0019419858371854187)","('3067 <= 1.01', 0.0013876242941024742)","('2745 <= 1.06', 0.0005641219825518988)","('435 > 0.65', 4.6525410582486175e-05)"
"('28 > 0.70', 0.02414216664132458)","('29 > 0.71', 0.023721444322241988)","('30 > 0.68', 0.019804842841542568)","('26 > 0.58', 0.01744501074101975)","('1308 > 1.02', 0.016244912429218307)","('2865 > 1.29', 0.014895904489804173)","('31 > 0.60', 0.014200791530259407)","('32 > 0.50', 0.01359915456377993)","('2864 > 1.28', 0.012170083575795632)","('22 > 0.35', 0.011868707986177444)","('3225 <= 1.03', 0.011414277070474942)","('769 > 0.85', 0.010767573375392905)","('2323 <= 1.03', 0.01041290794985225)","('438 > 0.71', 0.010162425374018808)","('3292 <= 1.05', 0.009734033413430382)","('384 > 0.71', 0.009664798360566247)","('966 > 0.91', 0.009314537328372284)","('2528 <= 0.98', 0.009290112673258992)","('2145 <= 1.09', 0.00912848147503504)","('3014 > 1.09', 0.009094650482785873)","('169 > 0.47', 0.009017286393310927)","('1157 > 0.90', 0.008896279107242108)","('2780 <= 1.06', 0.008717367660188111)","('1307 > 1.00', 0.008716754706411322)","('2370 <= 1.08', 0.008691491193449011)","('3025 <= 1.01', 0.008576484294385412)","('1949 <= 1.02', 0.008508620562597975)","('3262 <= 1.04', 0.008506578313678959)","('499 > 0.64', 0.008486712505806144)","('1182 > 0.97', 0.008473631653650091)","('3367 > 1.04', 0.00838077827384987)","('37 > 0.30', 0.008318527281784418)","('287 > 0.61', 0.00830076207941021)","('2018 <= 1.04', 0.00826177254636944)","('1940 <= 1.01', 0.008259400928113716)","('3497 <= 0.94', 0.008229364006065113)","('2360 <= 1.07', 0.00821622038719838)","('105 > 0.49', 0.008188607540220128)","('1458 > 0.94', 0.008075834738371266)","('722 > 0.86', 0.008072767888362793)","('3216 <= 1.03', 0.008037853997554113)","('3126 <= 1.02', 0.008032375191115387)","('1911 <= 1.04', 0.007884249094377639)","('1351 > 0.95', 0.007852254331808818)","('1426 > 0.90', 0.007765884011915876)","('2351 <= 1.09', 0.0077431014519489276)","('2405 <= 1.04', 0.0077030597864902765)","('3752 <= 1.06', 0.00768728720940889)","('2678 <= 1.06', 0.0076539232800351435)","('680 > 0.79', 0.007646521268292143)","('3049 <= 1.00', 0.007634544959934558)","('3603 <= 1.00', 0.00760980086587794)","('44 > 0.40', 0.007609347448451453)","('3178 <= 1.02', 0.00738423097359594)","('751 > 0.90', 0.007349494823759232)","('2896 <= 1.03', 0.007325737316855113)","('3556 <= 0.99', 0.007323235624533473)","('923 > 1.01', 0.007321923760737461)","('2293 <= 1.05', 0.007288600665177574)","('2070 <= 1.08', 0.007275190575837133)","('3250 <= 1.03', 0.007200319450726272)","('2 > 0.48', 0.007185157273855106)","('2240 <= 1.05', 0.007020742791295931)","('3165 <= 1.01', 0.0070035962132981395)","('3795 <= 1.04', 0.006870210473034673)","('1092 > 0.98', 0.00686190116050191)","('1051 > 1.01', 0.0068184817747993605)","('3514 <= 0.95', 0.006798632897578837)","('3319 <= 1.02', 0.006775313502498139)","('3350 <= 1.06', 0.00676074459320009)","('2063 <= 1.05', 0.006755488065944936)","('286 > 0.60', 0.006726291048950509)","('3624 > 1.08', 0.0066984822031824634)","('99 > 0.36', 0.006682971069470584)","('324 > 0.71', 0.006637579292852052)","('3036 > 1.12', 0.006635813041728216)","('725 > 0.84', 0.006629527744092206)","('1.06 < 1592 <= 1.09', 0.006553211115914192)","('3572 <= 1.00', 0.0065250409284304456)","('1044 > 1.00', 0.00639872369522641)","('3217 <= 1.03', 0.006370034487783102)","('1551 > 0.98', 0.006344006956530156)","('3783 <= 1.06', 0.006262403022982852)","('3184 <= 1.02', 0.006219699065141319)","('3680 <= 1.06', 0.006217727842158882)","('3487 <= 0.94', 0.006150217391692517)","('3511 <= 0.94', 0.006051518884994581)","('860 > 0.98', 0.006041224730764705)","('1499 > 0.96', 0.006006591454802936)","('259 > 0.51', 0.005942035921286316)","('3090 <= 1.00', 0.005855381579524077)","('2559 <= 0.95', 0.00583082104192612)","('3488 <= 0.94', 0.005734558545326659)","('1433 > 0.93', 0.005614972568341303)","('224 > 0.47', 0.005225369328940888)","('1504 > 0.94', 0.005088291973964308)","('1777 <= 0.96', 0.00439016962594716)","('1976 <= 1.05', 0.0025023313696289065)","('0.99 < 1760 <= 1.01', 0.002405260460974591)","('1632 > 0.98', 0.001262407473012666)"
"('29 > 0.71', 0.023934608842353582)","('28 > 0.70', 0.02331932905845011)","('30 > 0.68', 0.019548733902851903)","('26 > 0.58', 0.017542978543120282)","('31 > 0.60', 0.017422323348164376)","('1308 > 1.02', 0.013678424334202544)","('2865 > 1.29', 0.012941362871018727)","('1309 > 1.02', 0.012418235256795985)","('24 > 0.42', 0.012354340121717688)","('21 > 0.36', 0.010589110695347412)","('1946 <= 1.01', 0.009812109941718203)","('2408 <= 1.05', 0.009691222916322082)","('940 > 0.94', 0.009603955190092639)","('2169 <= 1.05', 0.009587545541308312)","('836 > 0.85', 0.009465229410943228)","('907 > 0.96', 0.009434414283613505)","('741 > 0.87', 0.009375134085785466)","('999 > 0.93', 0.009295524587696355)","('1336 > 0.97', 0.009139458715405254)","('2244 <= 1.05', 0.009091233335014073)","('3333 <= 1.04', 0.00903020282854653)","('3177 <= 1.02', 0.008856568522809867)","('1059 > 0.98', 0.008847130677162068)","('3264 <= 1.04', 0.008793624303692568)","('2939 <= 1.03', 0.008714010371530892)","('2512 <= 1.01', 0.00859248764466195)","('1473 > 0.73', 0.008496828709300417)","('743 > 0.85', 0.00847095341275179)","('3325 <= 1.03', 0.008419851111654228)","('1000 > 0.92', 0.008359707092837216)","('893 > 0.94', 0.008324898168150708)","('2763 <= 1.05', 0.008246267684245792)","('1038 > 0.96', 0.008013721749825928)","('3347 <= 1.07', 0.007965054405022477)","('3497 <= 0.94', 0.007930682323329425)","('1551 > 0.98', 0.00786869422952919)","('1034 > 0.94', 0.007786025132676505)","('2827 <= 1.06', 0.007689774074414543)","('900 > 0.93', 0.007625501091808662)","('2765 <= 1.05', 0.007485632201821855)","('2612 > 1.05', 0.0074203108267087165)","('1278 > 0.99', 0.007360300503844565)","('2178 > 1.09', 0.007358590396175321)","('855 > 0.90', 0.007352061083663595)","('3070 <= 1.01', 0.00735153170813572)","('2050 <= 1.06', 0.007347028519749357)","('3286 <= 1.04', 0.007338725572993366)","('116 > 0.41', 0.007305839871462138)","('975 > 0.94', 0.007286384135253629)","('3118 <= 1.02', 0.007279706360301506)","('3470 <= 0.95', 0.0072474347779721395)","('2594 <= 1.03', 0.00722216099087802)","('2958 <= 1.03', 0.007143204984333013)","('137 > 0.29', 0.007129432944756197)","('2810 <= 1.05', 0.007050920521904214)","('1016 > 0.94', 0.00697020162363844)","('1452 > 0.90', 0.006969831254873618)","('2709 <= 1.04', 0.006914631325636022)","('2098 <= 1.07', 0.006780774828460328)","('2117 <= 1.07', 0.006759410900972197)","('2228 <= 1.04', 0.006754571612895768)","('1079 > 1.01', 0.006715627589744694)","('3029 > 1.10', 0.006694709147577816)","('1439 > 0.93', 0.0066761839690074945)","('3604 <= 1.01', 0.006643154596477734)","('1091 > 0.97', 0.006624589772487858)","('2995 <= 1.02', 0.006622636469700932)","('54 > 0.43', 0.006611975167701005)","('2343 <= 1.08', 0.006505136894853294)","('450 > 0.68', 0.006495596757548243)","('510 > 0.73', 0.006463810560514411)","('382 > 0.70', 0.006288009903872056)","('2406 <= 1.04', 0.006266729680138236)","('3668 <= 1.03', 0.00625698148484456)","('0.99 < 1815 <= 1.01', 0.006181896290067611)","('1354 > 0.95', 0.00614263532611954)","('1030 > 0.93', 0.006088826179681745)","('2276 <= 1.06', 0.006080857919228344)","('2883 > 1.33', 0.00602815991878668)","('0.87 < 2190 <= 0.90', 0.006000765550664124)","('2430 <= 1.05', 0.005989998177770062)","('2510 <= 1.03', 0.0059815726273127305)","('1516 > 0.97', 0.0059408057335575875)","('3527 <= 0.97', 0.00592422643626801)","('1430 > 0.90', 0.005909145305416319)","('2247 <= 1.05', 0.005900418242807366)","('134 > 0.29', 0.005838177397423178)","('1265 > 1.00', 0.005815685711807823)","('529 > 0.60', 0.005651306381722969)","('2251 <= 1.04', 0.005599774214594705)","('1493 > 0.90', 0.00530309789916551)","('46 > 0.35', 0.005036523685764398)","('3049 <= 1.00', 0.004639895493020363)","('2987 <= 1.02', 0.004530830026823978)","('3130 <= 1.02', 0.004163044551520183)","('1.05 < 1612 <= 1.08', 0.004116159322993852)","('2848 > 1.17', 0.0038660228749731484)","('1174 > 0.89', 0.0035214390521176113)","('1122 > 1.02', 0.003445908247005999)","('1647 > 1.04', 0.0031470330989579924)"
